,index,tempo_prefci,alternativas_prefci,tempo_posfci,alternativas_posfci,tempo_quest1,nota_quest1,tempo_quest2,nota_quest2,tempo_quest3,nota_quest3,tempo_quest4,nota_quest4
147,147,5760,"[3, 1, 3, 5, 2, 2, 2, 2, 5, 1, 4, 2, 4, 4, 1, 1, 2, 2, 5, 4, 5, 2, 2, 1, 3, 5, 3, 5, 2, 3]",55800.0,"[3, 1, 3, 5, 2, 2, 2, 2, 5, 1, 4, 2, 4, 4, 1, 1, 2, 2, 5, 4, 5, 2, 2, 1, 3, 5, 3, 5, 2, 3]","[1680, 600, 360, 660, 600]","[9.5, 5.0, 7.0, 7.5, 10.0]","[2040, 1080]","[7.5, 10.0]",[6480.0],[7.5],[177180],[9.0]
148,148,1920,"[3, 1, 3, 1, 2, 2, 2, 2, 5, 4, 4, 2, 2, 4, 3, 1, 1, 4, 5, 4, 3, 1, 3, 1, 4, 2, 3, 5, 2, 3]",,,,,,,,,,
149,149,2340,"[3, 5, 2, 1, 4, 1, 2, 4, 2, 3, 2, 2, 3, 3, 3, 3, 3, 4, 4, 5, 5, 1, 5, 1, 4, 4, 5, 4, 1, 2]",,,,,,,,,,
150,150,1800,"[4, 4, 2, 5, 3, 5, 4, 4, 3, 4, 4, 3, 3, 1, 1, 1, 1, 2, 4, 4, 4, 2, 4, 1, 4, 4, 1, 4, 5, 2]",,,,,,,,,,
151,151,1560,"[3, 1, 3, 5, 2, 3, 2, 4, 2, 1, 4, 2, 4, 4, 3, 1, 2, 2, 5, 3, 5, 2, 3, 3, 3, 5, 3, 5, 2, 3]",,,[240],[10.0],[780],[10.0],"[420.0, 300.0, 300.0, 480.0, 240.0, 300.0, 480.0, 420.0]","[0.0, 5.0, 5.0, 5.0, 5.0, 2.5, 7.5, 5.0]",,
152,152,4500,"[3, 1, 3, 5, 2, 2, 5, 5, 5, 1, 4, 2, 4, 4, 3, 1, 2, 2, 5, 4, 2, 2, 3, 1, 3, 5, 3, 5, 2, 3]",,,"[420, 240]","[7.5, 10.0]",[360],[10.0],,,,
153,153,5160,"[3, 4, 3, 5, 2, 2, 2, 2, 5, 2, 4, 2, 4, 4, 4, 1, 2, 2, 5, 3, 3, 2, 2, 1, 3, 5, 2, 5, 2, 3]",4320.0,"[3, 4, 3, 5, 2, 2, 2, 2, 5, 2, 4, 2, 4, 4, 1, 1, 2, 2, 5, 1, 3, 2, 2, 1, 3, 5, 3, 5, 2, 3]","[3120, 480, 120, 120, 180]","[5.0, 7.5, 5.0, 7.5, 10.0]","[2040, 2100]","[7.5, 10.0]","[1980.0, 1320.0]","[5.0, 10.0]","[1320, 1200, 180, 1800, 134340, 1980, 1080, 1140, 60, 540, 4860, 720, 360, 780, 1140, 60, 720, 0, 720, 540, 360, 540, 60, 0, 1020, 420, 600, 840]","[8.7, 8.0, 2.7, 6.7, 8.3, 8.0, 9.3, 8.0, 0.0, 8.7, 8.7, 9.3, 2.7, 9.3, 9.3, 2.0, 9.3, 0.0, 9.3, 8.7, 8.7, 8.0, 0.0, 0.0, 7.3, 9.3, 8.0, 10.0]"
154,154,6840,"[4, 4, 3, 5, 2, 2, 2, 2, 5, 1, 5, 2, 4, 4, 3, 3, 2, 2, 3, 4, 3, 2, 2, 1, 3, 5, 3, 5, 4, 3]",,,,,,,,,,
155,155,1320,"[3, 1, 3, 5, 2, 2, 2, 2, 5, 1, 4, 2, 4, 2, 3, 1, 2, 2, 5, 4, 5, 2, 2, 1, 3, 5, 3, 5, 2, 1]",,,,,,,,,,
156,156,1380,"[3, 1, 3, 5, 5, 2, 1, 2, 3, 5, 3, 2, 3, 4, 1, 1, 2, 5, 4, 3, 5, 2, 2, 3, 3, 2, 2, 5, 4, 3]",,,"[540, 120, 120]","[5.0, 9.5, 10.0]","[780, 600, 120, 60, 60, 0, 0, 120]","[5.0, 2.5, 2.5, 7.5, 7.5, 2.5, 7.5, 10.0]","[1200.0, 420.0, 840.0, 1380.0, 660.0, 480.00000030000007, 1080.0, 479.99999969999993]","[5.0, 2.5, 5.0, 7.5, 2.5, 5.0, 7.5, 7.5]",,
