,index,tempo_prefci,alternativas_prefci,tempo_posfci,alternativas_posfci,tempo_quest1,nota_quest1,tempo_quest2,nota_quest2,tempo_quest3,nota_quest3,tempo_quest4,nota_quest4
0,0,2580,"[3, 1, 2, 1, 3, 1, 2, 4, 3, 5, 2, 2, 2, 4, 3, 3, 1, 3, 2, 3, 3, 1, 4, 5, 2, 4, 3, 5, 2, 5]",,,"[120, 180, 60]","[5.0, 4.5, 9.5]","[240, 120, 780, 180, 120, 60, 120, 0, 60]","[5.0, 5.0, 7.5, 5.0, 7.5, 7.5, 7.5, 7.5, 10.0]",,,,
1,1,4920,"[3, 1, 3, 5, 2, 2, 2, 1, 5, 1, 4, 3, 4, 4, 3, 1, 2, 4, 5, 4, 4, 4, 2, 1, 3, 3, 3, 5, 4, 3]",3540.0,"[3, 1, 3, 5, 4, 2, 2, 4, 5, 2, 4, 2, 4, 4, 3, 1, 2, 2, 1, 4, 5, 4, 2, 1, 3, 5, 2, 5, 4, 3]","[360, 360, 420]","[7.0, 5.0, 10.0]","[900, 2640]","[7.5, 10.0]","[87360.0, 2820.0, 82920.0, 7140.0, 2580.0, 1980.0]","[5.0, 7.5, 7.5, 7.5, 5.0, 10.0]",,
2,2,4740,"[4, 4, 3, 5, 2, 2, 2, 1, 5, 2, 2, 2, 3, 5, 3, 3, 1, 5, 1, 5, 3, 4, 1, 1, 5, 1, 3, 5, 5, 5]",1440.0,"[4, 4, 3, 5, 3, 2, 1, 2, 5, 1, 3, 3, 2, 5, 3, 3, 4, 4, 1, 5, 3, 2, 5, 1, 4, 2, 1, 4, 2, 5]",[1320],[7.5],"[240, 300, 120, 120, 120]","[2.5, 5.0, 5.0, 5.0, 10.0]","[1980.0, 507780.0, 480.0, 4800.0, 420.0, 54120.0, 660.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.0]",[2100],[8.7]
3,3,11700,"[3, 1, 3, 5, 2, 2, 2, 2, 5, 1, 4, 2, 4, 4, 3, 1, 2, 2, 5, 4, 3, 1, 2, 1, 3, 5, 3, 5, 2, 3]",2940.0,"[3, 1, 3, 5, 2, 2, 2, 2, 3, 1, 4, 2, 4, 4, 1, 1, 2, 2, 5, 4, 5, 2, 3, 1, 3, 5, 2, 5, 2, 3]","[240, 840, 360, 60, 120, 60, 600, 0]","[7.5, 10.0, 7.5, 10.0, 7.5, 10.0, 7.5, 10.0]",[720],[10.0],"[1560.0, 1440.0, 29220.0, 960.0, 1560.0, 1380.0]","[7.5, 5.0, 5.0, 5.0, 7.5, 10.0]","[7200, 95820]","[7.0, 9.0]"
4,4,2580,"[3, 1, 3, 5, 2, 2, 2, 1, 2, 1, 4, 2, 4, 4, 1, 5, 2, 2, 5, 4, 3, 2, 4, 3, 3, 5, 3, 5, 2, 3]",2880.0,"[3, 1, 3, 5, 2, 2, 2, 2, 5, 1, 4, 2, 4, 2, 1, 1, 2, 2, 5, 4, 3, 2, 2, 1, 3, 5, 3, 5, 4, 3]","[240, 300, 120, 120, 420]","[5.0, 9.5, 10.0, 10.0, 10.0]",[1080],[10.0],"[2640.0, 2580.0, 1320.0, 2400.0, 2040.0]","[5.0, 7.5, 10.0, 7.5, 10.0]","[3840, 240, 2220, 240, 120, 180, 120, 60, 120, 660, 2820]","[7.7, 2.0, 7.3, 0.0, 0.7, 0.3, 0.7, 1.3, 0.7, 2.0, 10.0]"
5,5,2760,"[4, 4, 3, 1, 3, 3, 4, 2, 2, 5, 2, 3, 2, 4, 3, 1, 1, 5, 1, 3, 5, 4, 4, 5, 4, 4, 2, 4, 4, 5]",,,,,,,,,,
6,6,2580,"[2, 2, 1, 5, 1, 2, 3, 1, 2, 3, 2, 2, 2, 2, 3, 1, 1, 1, 2, 5, 2, 1, 4, 3, 1, 1, 1, 5, 1, 5]",,,,,,,,,,
7,7,5340,"[3, 1, 3, 5, 2, 2, 2, 2, 5, 1, 4, 2, 4, 4, 1, 1, 2, 2, 1, 4, 5, 2, 2, 1, 3, 5, 3, 5, 2, 3]",6960.0,"[3, 1, 3, 5, 2, 2, 2, 2, 5, 1, 4, 2, 4, 4, 1, 1, 2, 2, 1, 4, 5, 2, 2, 1, 3, 5, 3, 5, 2, 3]","[300, 420]","[7.5, 10.0]",[600],[10.0],"[3540.0, 2220.0]","[7.5, 10.0]",,
8,8,3180,"[3, 4, 2, 5, 4, 2, 2, 2, 5, 2, 4, 2, 2, 4, 3, 3, 1, 2, 5, 4, 3, 1, 4, 3, 5, 2, 3, 5, 2, 5]",,,,,,,,,,
9,9,1020,"[4, 5, 1, 5, 5, 2, 2, 2, 4, 4, 3, 2, 1, 4, 2, 1, 1, 5, 4, 2, 3, 2, 4, 4, 5, 4, 2, 4, 2, 5]",,,,,,,,,,
10,10,3480,"[1, 2, 1, 1, 3, 2, 2, 2, 2, 5, 3, 3, 3, 1, 3, 3, 1, 3, 4, 5, 3, 1, 4, 3, 4, 1, 1, 4, 2, 3]",4140.0,"[1, 1, 2, 1, 3, 1, 2, 1, 3, 5, 3, 3, 1, 1, 1, 1, 1, 3, 2, 1, 2, 1, 4, 3, 4, 2, 3, 4, 2, 3]",[1680],[10.0],[1800],[10.0],"[1620.0, 420.0]","[0.0, 5.0]",[3960],[6.3]
11,11,13560,"[4, 4, 3, 1, 1, 2, 5, 2, 5, 1, 3, 2, 3, 2, 3, 3, 1, 5, 5, 4, 3, 1, 1, 3, 4, 4, 3, 5, 4, 5]",,,,,,,,,,
12,12,104400,"[3, 1, 2, 5, 4, 1, 2, 1, 2, 1, 5, 2, 2, 4, 1, 1, 1, 2, 5, 3, 5, 1, 2, 1, 4, 3, 2, 5, 2, 5]",774240.0,"[3, 1, 2, 5, 5, 2, 2, 2, 5, 1, 3, 2, 2, 4, 3, 3, 1, 4, 4, 3, 5, 4, 2, 1, 3, 1, 2, 5, 2, 5]","[1680, 11700, 1380, 420, 5280, 360, 120, 120, 1020]","[5.0, 7.5, 7.5, 7.5, 7.5, 7.5, 7.5, 10.0, 10.0]","[3780, 75120, 840]","[5.0, 7.5, 10.0]","[31800.0, 217320.0, 175200.0, 338580.0, 865980.0, 159000.0, 10080.0, 6060.0, 10260540.0]","[2.5, 2.5, 5.0, 7.5, 5.0, 5.0, 7.5, 7.5, 5.0]",[436080],[8.7]
13,13,2220,"[2, 2, 3, 5, 5, 2, 3, 5, 3, 3, 3, 2, 2, 4, 1, 1, 2, 4, 1, 4, 2, 1, 3, 1, 5, 5, 3, 5, 2, 5]",999240.0,"[3, 4, 3, 5, 4, 3, 3, 5, 3, 1, 3, 2, 3, 4, 3, 3, 4, 4, 4, 3, 1, 1, 3, 1, 4, 2, 3, 5, 2, 5]","[720, 180, 1560, 60, 1615800, 540, 180, 60]","[7.5, 4.5, 5.0, 10.0, 4.5, 7.5, 7.5, 10.0]","[360, 420, 300, 120]","[2.5, 2.5, 5.0, 10.0]","[780.0, 540.0, 360.0, 588060.0, 660.0, 1740.0, 720.0, 420.0, 360.0, 480.0, 120.0, 480.0, 60.0, 900.0, 120.0, 1440.0, 840.0, 720.0, 840.0, 1680.0]","[2.5, 5.0, 2.5, 7.5, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 7.5, 7.5, 5.0, 5.0, 5.0, 5.0, 7.5, 7.5, 7.5, 10.0]","[13020, 1140, 352980]","[4.7, 6.0, 6.7]"
14,14,3960,"[1, 4, 2, 1, 4, 2, 2, 2, 2, 2, 3, 3, 1, 4, 3, 2, 1, 4, 4, 1, 5, 2, 3, 1, 5, 1, 1, 2, 4, 5]",,,,,,,,,,
15,15,4380,"[3, 1, 2, 5, 5, 2, 2, 2, 3, 1, 3, 2, 2, 4, 3, 1, 1, 5, 1, 5, 2, 4, 4, 5, 4, 2, 1, 5, 2, 5]",,,,,,,,,,
16,16,3420,"[3, 1, 1, 1, 5, 2, 1, 5, 3, 2, 2, 3, 3, 1, 3, 3, 1, 4, 5, 5, 1, 2, 1, 3, 4, 1, 1, 4, 2, 5]",,,,,,,,,,
17,17,426840,"[3, 4, 2, 5, 5, 2, 1, 2, 5, 5, 3, 3, 2, 2, 1, 1, 4, 4, 5, 5, 5, 4, 1, 1, 3, 2, 1, 5, 2, 5]",,,,,,,,,,
18,18,3420,"[3, 1, 3, 5, 4, 2, 2, 2, 5, 4, 3, 2, 3, 4, 1, 3, 2, 2, 5, 2, 1, 2, 3, 1, 3, 2, 3, 5, 2, 5]",3000.0,"[3, 1, 3, 5, 5, 2, 2, 2, 5, 1, 4, 3, 3, 4, 3, 1, 2, 2, 3, 1, 5, 1, 4, 1, 3, 1, 2, 5, 2, 5]","[300, 180, 180]","[5.0, 7.0, 10.0]",[900],[10.0],"[1620.0, 960.0]","[2.5, 5.0]",[2520],[9.0]
19,19,1140,"[3, 4, 3, 5, 4, 1, 3, 2, 5, 1, 5, 2, 4, 4, 1, 1, 1, 4, 5, 4, 1, 2, 1, 1, 5, 1, 3, 5, 4, 3]",,,,,,,,,,
20,20,2460,"[2, 5, 3, 1, 3, 2, 2, 2, 5, 3, 4, 4, 3, 1, 2, 3, 1, 2, 4, 4, 3, 5, 3, 4, 4, 3, 1, 4, 2, 5]",,,,,,,,,,
21,21,2160,"[3, 4, 1, 5, 4, 2, 2, 1, 3, 1, 4, 2, 3, 4, 3, 1, 2, 3, 4, 4, 1, 2, 4, 1, 3, 2, 1, 5, 4, 3]",,,,,,,,,,
22,22,2940,"[4, 4, 1, 5, 3, 3, 1, 1, 2, 1, 3, 2, 1, 1, 4, 4, 1, 4, 4, 5, 5, 4, 4, 5, 5, 2, 1, 4, 2, 5]",,,,,,,,,,
23,23,2040,"[3, 1, 1, 1, 4, 2, 2, 4, 3, 1, 2, 2, 3, 4, 4, 3, 1, 2, 4, 3, 5, 4, 5, 1, 4, 4, 2, 5, 2, 3]",,,,,,,,,,
24,24,1620,"[3, 1, 2, 5, 3, 2, 2, 1, 2, 1, 3, 2, 2, 4, 1, 1, 1, 3, 5, 4, 1, 1, 1, 1, 4, 2, 3, 5, 4, 5]",,,,,,,,,,
25,25,1440,"[3, 4, 3, 5, 2, 1, 2, 1, 3, 1, 2, 2, 2, 4, 3, 1, 2, 4, 3, 4, 2, 2, 3, 5, 1, 1, 2, 5, 2, 1]",16080.0,"[5, 1, 3, 5, 5, 2, 2, 4, 2, 5, 2, 2, 2, 4, 2, 3, 1, 2, 2, 1, 3, 2, 2, 1, 3, 3, 2, 5, 2, 3]","[420, 420, 180, 120, 120, 180, 60]","[7.5, 7.5, 7.5, 7.5, 7.5, 7.5, 10.0]","[720, 180, 180, 60, 120]","[7.5, 2.5, 7.5, 5.0, 10.0]",[1380.0],[5.0],[86220],[8.0]
26,26,1260,"[3, 4, 4, 5, 3, 2, 2, 5, 3, 3, 2, 3, 2, 2, 1, 1, 1, 3, 4, 1, 1, 3, 4, 2, 4, 3, 2, 5, 1, 5]",,,,,,,,,,
27,27,1800,"[3, 1, 3, 5, 4, 2, 2, 1, 2, 1, 4, 2, 4, 4, 3, 1, 2, 2, 1, 3, 2, 4, 3, 2, 5, 2, 3, 5, 2, 3]",1500.0,"[3, 1, 3, 5, 2, 2, 2, 2, 5, 1, 4, 2, 4, 4, 1, 1, 2, 2, 1, 3, 5, 2, 4, 5, 3, 5, 3, 5, 2, 3]",[300],[7.5],"[480, 660]","[5.0, 10.0]","[420.0, 1200.0, 30420.0, 600.0]","[0.0, 2.5, 5.0, 7.5]",[1140],[7.0]
28,28,2100,"[3, 1, 3, 5, 2, 2, 2, 1, 2, 2, 3, 2, 4, 4, 1, 1, 2, 4, 5, 1, 5, 3, 1, 1, 4, 5, 2, 5, 2, 3]",,,,,,,,,,
29,29,1140,"[3, 2, 1, 5, 2, 2, 2, 2, 5, 1, 5, 2, 2, 1, 4, 4, 1, 4, 4, 3, 3, 1, 4, 3, 5, 2, 1, 4, 1, 4]",,,,,,,,,,
30,30,1860,"[3, 1, 3, 5, 2, 2, 2, 2, 5, 1, 4, 2, 4, 4, 3, 1, 2, 2, 5, 4, 5, 2, 2, 1, 3, 5, 3, 5, 2, 3]",1560.0,"[3, 1, 3, 5, 2, 2, 2, 2, 5, 1, 4, 2, 4, 4, 3, 1, 2, 2, 5, 4, 5, 2, 2, 1, 3, 5, 3, 5, 2, 3]",[360],[9.5],[960],[10.0],[2280.0],[10.0],[2040],[8.3]
31,31,2160,"[3, 4, 3, 5, 3, 2, 2, 1, 3, 1, 3, 3, 3, 2, 1, 1, 1, 4, 5, 3, 2, 4, 2, 1, 5, 1, 3, 5, 4, 5]",1560.0,"[3, 2, 3, 5, 4, 2, 2, 1, 2, 2, 3, 2, 3, 1, 1, 1, 1, 4, 5, 4, 3, 2, 2, 1, 4, 1, 3, 5, 4, 5]","[1860, 360]","[7.5, 10.0]","[1260, 1860]","[7.5, 10.0]","[1200.0, 1080.0, 1502640.0, 60.0, 60.0, 60.0, 60.0, 120.0, 240.0, 120.0, 120.0, 60.0, 60.0, 120.0, 1200.0, 1860.0, 180.0, 60.0, 60.0, 0.0, 0.0, 60.0, 0.0, 60.0, 240.0, 420.0, 0.0, 43500.0]","[0.0, 2.5, 0.0, 2.5, 2.5, 0.0, 2.5, 2.5, 0.0, 5.0, 2.5, 0.0, 2.5, 7.5, 7.5, 2.5, 7.5, 0.0, 0.0, 2.5, 0.0, 2.5, 0.0, 2.5, 7.5, 0.0, 0.0, 10.0]",[17940],[8.3]
32,32,2700,"[3, 1, 1, 1, 1, 2, 2, 1, 2, 1, 4, 2, 4, 4, 1, 3, 1, 2, 5, 4, 3, 4, 2, 1, 3, 2, 3, 5, 4, 3]",,,[900],[9.5],"[240, 360, 540, 480]","[2.5, 5.0, 0.0, 7.5]",,,,
33,33,1500,"[3, 4, 2, 5, 3, 1, 2, 1, 2, 1, 2, 2, 2, 1, 4, 3, 1, 5, 4, 3, 4, 4, 4, 5, 2, 1, 2, 4, 1, 5]",,,,,,,,,,
34,34,2760,"[3, 5, 3, 1, 3, 3, 1, 2, 4, 1, 2, 3, 2, 1, 3, 3, 1, 4, 2, 3, 5, 4, 5, 1, 5, 1, 3, 4, 2, 5]",,,,,,,,,,
35,35,2040,"[3, 4, 3, 5, 5, 1, 3, 1, 2, 1, 3, 3, 3, 2, 3, 1, 1, 4, 3, 3, 3, 1, 2, 1, 3, 1, 2, 5, 2, 5]",840.0,"[3, 1, 3, 5, 5, 2, 3, 1, 2, 1, 3, 3, 3, 2, 1, 1, 1, 4, 5, 3, 4, 4, 3, 1, 3, 1, 1, 5, 2, 5]","[180, 360, 120]","[7.5, 9.5, 10.0]","[780, 240, 120, 0, 300]","[7.5, 7.5, 7.5, 7.5, 7.5]","[1920.0, 360.0, 360.0, 480.0, 360.0]","[7.5, 5.0, 2.5, 5.0, 5.0]",,
36,36,1620,"[3, 1, 3, 5, 4, 2, 2, 2, 5, 1, 4, 2, 4, 4, 1, 1, 2, 2, 5, 5, 1, 2, 2, 1, 3, 5, 3, 5, 4, 3]",,,,,,,,,,
37,37,1800,"[3, 1, 3, 5, 2, 2, 2, 1, 2, 1, 3, 2, 3, 1, 3, 3, 1, 4, 5, 1, 5, 2, 2, 1, 4, 1, 1, 5, 2, 5]",3540.0,"[3, 1, 3, 5, 2, 2, 2, 1, 2, 1, 3, 2, 3, 4, 3, 1, 2, 2, 5, 4, 5, 2, 2, 1, 3, 5, 3, 5, 2, 5]","[180, 60]","[5.0, 7.5]",[540],[10.0],[77220.0],[5.0],[8100],[8.7]
38,38,2220,"[3, 1, 3, 5, 2, 2, 2, 2, 5, 1, 4, 2, 4, 4, 1, 1, 2, 4, 5, 4, 5, 2, 2, 1, 3, 5, 1, 5, 2, 3]",,,,,,,,,,
39,39,1500,"[3, 1, 3, 1, 4, 2, 3, 1, 2, 3, 2, 2, 2, 4, 3, 3, 1, 4, 4, 5, 3, 5, 4, 3, 2, 4, 3, 4, 2, 2]",,,,,,,,,,
40,40,4440,"[3, 1, 5, 1, 3, 1, 2, 2, 5, 4, 3, 3, 3, 1, 3, 1, 1, 5, 4, 3, 3, 3, 3, 5, 4, 2, 3, 4, 1, 5]",,,,,,,,,,
41,41,11400,"[3, 1, 3, 1, 4, 2, 3, 1, 3, 1, 2, 5, 3, 4, 1, 3, 1, 5, 5, 3, 2, 2, 4, 1, 4, 2, 3, 5, 2, 5]",,,,,,,,,,
42,42,960,"[4, 4, 1, 1, 3, 2, 4, 1, 5, 1, 2, 2, 1, 1, 3, 2, 1, 5, 5, 3, 3, 4, 3, 3, 2, 1, 4, 3, 1, 5]",,,,,,,,,,
43,43,2400,"[3, 4, 1, 1, 2, 2, 2, 2, 5, 1, 3, 2, 3, 4, 3, 1, 4, 5, 1, 1, 3, 2, 3, 1, 5, 4, 1, 5, 2, 5]",1740.0,"[3, 4, 2, 5, 2, 2, 2, 2, 5, 1, 4, 3, 3, 4, 3, 1, 1, 5, 4, 1, 3, 1, 4, 4, 4, 1, 3, 5, 1, 5]","[240, 180]","[7.0, 10.0]",[1500],[7.5],[4800.0],[10.0],[2940],[7.0]
44,44,2820,"[3, 1, 1, 5, 4, 2, 2, 2, 3, 4, 3, 2, 3, 4, 1, 1, 1, 3, 4, 5, 2, 1, 3, 1, 4, 2, 1, 5, 2, 5]",,,,,,,,,,
45,45,5100,"[3, 4, 3, 5, 3, 2, 5, 1, 2, 1, 3, 2, 3, 4, 1, 1, 2, 3, 3, 4, 2, 4, 4, 2, 3, 1, 3, 5, 2, 5]",201000.0,"[4, 1, 3, 5, 4, 2, 5, 1, 5, 5, 3, 3, 3, 4, 1, 1, 1, 2, 5, 4, 2, 1, 4, 3, 4, 1, 2, 5, 2, 5]","[2400, 900, 1980]","[7.5, 7.5, 10.0]","[4200, 40200]","[5.0, 10.0]",[11400.0],[5.0],[288240],[9.0]
46,46,2040,"[3, 1, 3, 5, 2, 2, 2, 2, 5, 1, 4, 2, 4, 4, 3, 1, 2, 2, 5, 4, 1, 2, 2, 1, 3, 5, 3, 5, 4, 3]",,,,,,,,,,
47,47,600,"[4, 4, 3, 1, 3, 1, 3, 3, 2, 3, 2, 2, 2, 4, 4, 4, 2, 3, 5, 5, 4, 4, 4, 3, 4, 1, 4, 2, 5, 5]",,,,,,,,,,
48,48,1200,"[3, 3, 3, 5, 4, 2, 2, 2, 5, 1, 3, 2, 4, 4, 1, 1, 2, 2, 5, 4, 5, 1, 1, 1, 3, 5, 3, 5, 2, 3]",,,,,,,,,,
49,49,3720,"[5, 1, 3, 5, 2, 2, 2, 4, 5, 1, 1, 3, 4, 4, 2, 1, 2, 2, 5, 4, 3, 2, 2, 1, 3, 2, 2, 5, 2, 3]",1320.0,"[3, 1, 3, 5, 1, 2, 2, 2, 2, 1, 1, 2, 4, 4, 1, 3, 2, 2, 1, 4, 3, 1, 3, 1, 3, 2, 2, 5, 2, 3]","[240, 120, 180, 420, 120, 60, 420, 120]","[7.0, 5.0, 5.0, 9.5, 10.0, 7.5, 10.0, 10.0]","[420, 360, 120]","[7.5, 7.5, 10.0]","[2700.0, 2100.0, 480.0, 60.0, 51840.0, 540.0, 5040.0, 480.0, 480.0, 300.0, 180.0, 240.0, 120.0, 360.0]","[5.0, 2.5, 0.0, 0.0, 5.0, 5.0, 2.5, 5.0, 5.0, 5.0, 7.5, 7.5, 5.0, 10.0]","[4260, 1260]","[7.7, 9.0]"
50,50,1440,"[3, 4, 3, 5, 2, 2, 1, 2, 5, 1, 2, 3, 2, 1, 1, 3, 1, 4, 5, 5, 3, 1, 3, 1, 4, 3, 1, 5, 2, 5]",,,,,,,,,,
51,51,2040,"[3, 4, 3, 1, 3, 3, 2, 2, 3, 4, 2, 3, 3, 2, 3, 3, 1, 4, 1, 4, 3, 2, 3, 1, 4, 4, 3, 4, 2, 5]",,,,,,,,,,
52,52,2280,"[2, 4, 3, 1, 3, 4, 1, 2, 5, 1, 3, 2, 3, 1, 3, 2, 2, 5, 3, 2, 2, 4, 3, 1, 2, 2, 2, 1, 1, 2]",,,,,,,,,,
53,53,1620,"[4, 5, 3, 1, 4, 2, 2, 1, 3, 1, 2, 2, 3, 4, 1, 1, 2, 4, 4, 2, 4, 2, 3, 1, 3, 4, 3, 4, 2, 5]",,,"[1440, 1800, 22920, 240, 420, 180]","[7.5, 2.5, 5.0, 7.5, 7.5, 10.0]","[12660, 240, 1080, 300, 2400, 60]","[7.5, 2.5, 7.5, 5.0, 7.5, 10.0]",,,,
54,54,264060,"[3, 1, 3, 5, 4, 1, 5, 1, 2, 1, 5, 3, 4, 4, 1, 1, 1, 4, 5, 5, 3, 2, 2, 1, 4, 2, 3, 5, 2, 5]",,,,,,,,,,
55,55,1140,"[4, 4, 3, 5, 5, 2, 2, 4, 3, 1, 3, 2, 3, 4, 3, 1, 1, 2, 5, 4, 5, 4, 4, 1, 4, 5, 3, 5, 2, 5]",1380.0,"[3, 2, 3, 5, 4, 2, 2, 4, 3, 1, 4, 2, 4, 4, 1, 1, 2, 4, 5, 4, 5, 2, 2, 1, 3, 2, 3, 5, 2, 5]","[180, 120, 360, 540, 120, 60, 120, 60, 360, 120, 60, 60, 120, 60, 60]","[7.0, 0.0, 5.0, 5.0, 7.0, 7.5, 5.0, 7.5, 4.5, 2.5, 5.0, 7.0, 7.5, 9.5, 10.0]","[300, 240, 120, 480, 120, 60, 180, 25620]","[5.0, 7.5, 5.0, 5.0, 7.5, 10.0, 2.5, 0.0]","[1440.0, 360.0, 420.0, 660.0, 480.0, 540.0, 4380.0, 660.0, 17160.0, 480.0, 180.0, 120.0, 600.0, 540.0, 180.0, 480.0, 240.0, 600.0, 180.0]","[5.0, 5.0, 0.0, 2.5, 5.0, 0.0, 5.0, 5.0, 2.5, 5.0, 5.0, 5.0, 5.0, 5.0, 7.5, 5.0, 5.0, 2.5, 10.0]",,
56,56,527400,"[3, 4, 5, 5, 3, 1, 2, 5, 3, 4, 2, 2, 1, 4, 3, 1, 1, 4, 1, 5, 3, 2, 1, 1, 4, 2, 1, 4, 4, 5]",,,,,,,,,,
57,57,2040,"[3, 2, 3, 1, 2, 3, 3, 2, 5, 4, 1, 2, 3, 3, 3, 3, 1, 1, 4, 1, 2, 4, 3, 2, 5, 1, 3, 3, 4, 5]",,,,,,,,,,
58,58,6300,"[3, 4, 3, 1, 5, 1, 4, 1, 2, 5, 2, 2, 3, 1, 3, 4, 5, 4, 5, 5, 2, 1, 3, 3, 5, 2, 1, 4, 5, 5]",,,"[98760, 240, 240, 360, 600, 420, 120, 180, 60]","[0.0, 2.0, 2.5, 5.0, 7.5, 5.0, 5.0, 5.0, 10.0]","[120, 120, 120, 420, 120, 60, 60, 120]","[5.0, 2.5, 5.0, 5.0, 5.0, 5.0, 7.5, 10.0]",[1200.0],[0.0],,
59,59,1920,"[1, 1, 2, 5, 4, 2, 4, 4, 3, 2, 3, 2, 2, 4, 3, 3, 1, 4, 3, 3, 2, 2, 3, 2, 4, 2, 3, 5, 2, 5]",,,,,,,,,,
60,60,960,"[3, 4, 2, 5, 5, 1, 2, 2, 3, 4, 3, 2, 1, 1, 2, 3, 1, 3, 4, 4, 1, 2, 3, 3, 2, 2, 1, 2, 2, 5]",,,,,,,,,,
61,61,1260,"[3, 2, 1, 1, 1, 2, 2, 4, 5, 1, 2, 2, 3, 4, 3, 1, 1, 2, 4, 2, 3, 2, 3, 2, 2, 5, 3, 4, 2, 5]",,,"[493440, 300, 360, 7980, 120, 120]","[7.5, 5.0, 5.0, 5.0, 7.5, 10.0]","[960, 240]","[2.5, 5.0]",[720.0],[7.5],,
62,62,7308300,"[3, 1, 3, 1, 4, 2, 5, 5, 3, 5, 3, 2, 5, 1, 1, 5, 4, 5, 2, 4, 4, 4, 3, 3, 5, 2, 1, 4, 5, 2]",,,,,,,,,,
63,63,40320,"[3, 4, 3, 1, 1, 3, 5, 4, 2, 5, 3, 3, 2, 4, 3, 2, 1, 3, 5, 5, 5, 4, 5, 4, 1, 4, 3, 3, 1, 2]",,,,,,,,,,
64,64,18960,"[4, 4, 3, 5, 2, 2, 2, 2, 5, 1, 4, 2, 4, 4, 3, 1, 2, 2, 5, 5, 3, 1, 1, 1, 3, 1, 1, 5, 2, 5]",3300.0,"[3, 1, 3, 5, 2, 1, 2, 1, 2, 1, 4, 2, 4, 4, 1, 1, 2, 2, 1, 3, 2, 1, 1, 4, 3, 1, 3, 5, 2, 3]",[180],[10.0],"[360, 480, 120, 60, 60, 0, 0, 60, 0]","[7.5, 2.5, 2.5, 7.5, 7.5, 7.5, 7.5, 7.5, 10.0]","[1080.0, 420.0, 420.0, 2164260.0, 720.0, 98460.0, 1980.0, 2100.0, 300.0, 660.0, 420.0]","[7.5, 2.5, 2.5, 5.0, 5.0, 7.5, 2.5, 5.0, 10.0, 2.5, 7.5]","[2400, 2460, 2280, 3360, 1560]","[7.5, 6.0, 7.3, 9.3, 8.5]"
65,65,3780,"[3, 2, 2, 1, 4, 2, 2, 2, 5, 1, 3, 2, 1, 4, 3, 1, 4, 4, 3, 4, 5, 4, 2, 1, 4, 1, 3, 5, 2, 5]",1980.0,"[3, 4, 2, 5, 4, 2, 2, 4, 5, 2, 3, 2, 1, 4, 3, 1, 1, 4, 5, 4, 5, 2, 2, 1, 4, 3, 3, 5, 2, 5]","[900, 300, 120, 120]","[7.5, 10.0, 5.0, 10.0]","[780, 600, 1920]","[10.0, 7.5, 10.0]","[1920.0, 3480.0]","[10.0, 7.5]","[2700, 780, 1260, 1440, 1260, 1320, 2220, 1260, 1320, 300]","[8.3, 9.0, 8.7, 8.3, 9.3, 9.7, 8.0, 8.0, 9.3, 0.0]"
66,66,1980,"[3, 1, 2, 1, 3, 3, 5, 5, 2, 1, 3, 5, 3, 1, 3, 3, 1, 5, 4, 3, 3, 5, 4, 3, 2, 5, 1, 4, 1, 5]",,,,,,,,,,
67,67,2850120,"[3, 1, 3, 5, 3, 1, 2, 2, 3, 4, 3, 2, 3, 3, 3, 3, 1, 5, 5, 5, 3, 4, 5, 5, 1, 2, 3, 5, 4, 5]",,,,,,,,,,
68,68,3540,"[2, 2, 3, 5, 3, 1, 5, 5, 2, 3, 2, 2, 2, 4, 1, 3, 1, 5, 4, 0, 2, 2, 1, 1, 3, 4, 3, 5, 1, 5]",,,,,,,,,,
69,69,1560,"[1, 4, 3, 4, 3, 2, 2, 2, 3, 5, 2, 4, 1, 4, 3, 4, 1, 2, 4, 5, 5, 5, 5, 5, 4, 4, 1, 2, 1, 5]",,,,,,,,,,
70,70,5400,"[4, 4, 2, 1, 3, 1, 1, 1, 2, 1, 2, 2, 2, 4, 3, 3, 4, 3, 4, 1, 2, 1, 1, 3, 4, 2, 1, 4, 4, 5]",4646520.0,"[3, 1, 3, 1, 4, 1, 1, 2, 4, 1, 5, 2, 3, 4, 3, 3, 1, 5, 4, 3, 3, 1, 2, 3, 4, 2, 1, 4, 2, 5]","[2040, 1500, 300]","[7.5, 4.5, 10.0]","[2280, 827940, 6235200, 5280, 780, 960]","[2.5, 5.0, 0.0, 7.5, 5.0, 10.0]","[401760.0, 4320.0]","[5.0, 2.5]",[7920],[8.2]
71,71,1320,"[3, 5, 2, 1, 2, 1, 2, 4, 5, 5, 2, 2, 2, 4, 3, 3, 4, 4, 3, 1, 3, 1, 1, 1, 1, 1, 1, 4, 2, 5]",,,,,,,,,,
